name,crossing_number,strands,braid_word,jones_q,raw_braid_notation,raw_jones_t,comparable
12n_793,12,4,"[-1, 2, 3, -1, 3, 3, 3, 2, -3, -3, 2, 2, 3]",2-3*q+ 6*q**2-8*q**3+ 9*q**4-10*q**5+ 9*q**6-7*q**7+ 4*q**8-2*q**9+ q**10,"[-1,2,3,-1,3,3,3,2,-3,-3,2,2,3]",2-3*t+ 6*t^2-8*t^3+ 9*t^4-10*t^5+ 9*t^6-7*t^7+ 4*t^8-2*t^9+ t^10,true
12n_794,12,5,"[-1, -4, -2, 3, -2, 4, 3, 3, -2, -2, -1, 4, 3, 2]",q**(-6)-3*q**(-5)+ 7*q**(-4)-11*q**(-3)+ 15*q**(-2)-17*q**(-1)+ 16-14*q+ 10*q**2-5*q**3+ 2*q**4,"[-1,-4,-2,3,-2,4,3,3,-2,-2,-1,4,3,2]",t^(-6)-3*t^(-5)+ 7*t^(-4)-11*t^(-3)+ 15*t^(-2)-17*t^(-1)+ 16-14*t+ 10*t^2-5*t^3+ 2*t^4,true
12n_795,12,5,"[-1, 2, 1, 1, 3, -2, 3, 2, 2, -4, 3, -4, -3, 2]",2*q**(-1)-4+ 8*q-11*q**2+ 13*q**3-13*q**4+ 11*q**5-9*q**6+ 5*q**7-2*q**8+ q**9,"[-1,2,1,1,3,-2,3,2,2,-4,3,-4,-3,2]",2*t^(-1)-4+ 8*t-11*t^2+ 13*t^3-13*t^4+ 11*t^5-9*t^6+ 5*t^7-2*t^8+ t^9,true
12n_796,12,4,"[1, 2, 2, 2, 3, 3, 2, -1, 2, -3, -1, 2, 1]",2*q**2-5*q**3+ 10*q**4-13*q**5+ 16*q**6-16*q**7+ 14*q**8-11*q**9+ 6*q**10-3*q**11+ q**12,"[1,2,2,2,3,3,2,-1,2,-3,-1,2,1]",2*t^2-5*t^3+ 10*t^4-13*t^5+ 16*t^6-16*t^7+ 14*t^8-11*t^9+ 6*t^10-3*t^11+ t^12,true
12n_797,12,5,"[-1, 2, -3, 2, 3, -2, 4, -3, 1, 4, 3, 1, 2, -3, 2, 3]",q-2*q**2+ 5*q**3-7*q**4+ 9*q**5-9*q**6+ 9*q**7-8*q**8+ 5*q**9-3*q**10+ q**11,"[-1,2,-3,2,3,-2,4,-3,1,4,3,1,2,-3,2,3]",t-2*t^2+ 5*t^3-7*t^4+ 9*t^5-9*t^6+ 9*t^7-8*t^8+ 5*t^9-3*t^10+ t^11,true
12n_798,12,5,"[1, -2, -3, 2, -3, -2, 4, -1, -1, 2, -3, 2, -3, 4]",-3*q**(-6)+ 7*q**(-5)-11*q**(-4)+ 15*q**(-3)-15*q**(-2)+ 15*q**(-1)-12+ 8*q-4*q**2+ q**3,"[1,-2,-3,2,-3,-2,4,-1,-1,2,-3,2,-3,4]",-3*t^(-6)+ 7*t^(-5)-11*t^(-4)+ 15*t^(-3)-15*t^(-2)+ 15*t^(-1)-12+ 8*t-4*t^2+ t^3,true
12n_799,12,5,"[-1, 2, -3, 2, -3, 2, 4, 1, 1, -2, 3, -2, 3, 4]",2*q**(-1)-6+ 13*q-18*q**2+ 22*q**3-23*q**4+ 20*q**5-16*q**6+ 10*q**7-4*q**8+ q**9,"[-1,2,-3,2,-3,2,4,1,1,-2,3,-2,3,4]",2*t^(-1)-6+ 13*t-18*t^2+ 22*t^3-23*t^4+ 20*t^5-16*t^6+ 10*t^7-4*t^8+ t^9,true
12n_8,12,5,"[-1, 2, -1, 2, 3, -4, 2, 2, 3, 3, 3, -4]",q**(-2)-2*q**(-1)+ 5-7*q+ 9*q**2-10*q**3+ 9*q**4-8*q**5+ 6*q**6-3*q**7+ q**8,"[-1,2,-1,2,3,-4,2,2,3,3,3,-4]",t^(-2)-2*t^(-1)+ 5-7*t+ 9*t^2-10*t^3+ 9*t^4-8*t^5+ 6*t^6-3*t^7+ t^8,true
12n_80,12,4,"[-1, -3, -3, -1, -2, -2, 3, -2, 1, 1, 1, -2, -2]",-q**(-10)+ 3*q**(-9)-6*q**(-8)+ 8*q**(-7)-10*q**(-6)+ 11*q**(-5)-10*q**(-4)+ 9*q**(-3)-5*q**(-2)+ 3*q**(-1)-1,"[-1,-3,-3,-1,-2,-2,3,-2,1,1,1,-2,-2]",-t^(-10)+ 3*t^(-9)-6*t^(-8)+ 8*t^(-7)-10*t^(-6)+ 11*t^(-5)-10*t^(-4)+ 9*t^(-3)-5*t^(-2)+ 3*t^(-1)-1,true
12n_800,12,4,"[-1, -2, -3, -3, 2, -1, 2, -1, 2, 2, 3, -2, -1]",q**(-7)-5*q**(-6)+ 10*q**(-5)-15*q**(-4)+ 19*q**(-3)-19*q**(-2)+ 18*q**(-1)-14+ 9*q-4*q**2+ q**3,"[-1,-2,-3,-3,2,-1,2,-1,2,2,3,-2,-1]",t^(-7)-5*t^(-6)+ 10*t^(-5)-15*t^(-4)+ 19*t^(-3)-19*t^(-2)+ 18*t^(-1)-14+ 9*t-4*t^2+ t^3,true
